date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:43	1468/1468	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202017%2019:10:42%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/favicon.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/favicon.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:44	1274/1274	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202017%2019:10:08%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/logo.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/logo.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:46	357/357	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2013:20:42%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/down_arrow.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/down_arrow.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:47	350/350	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Sep%202017%2019:26:50%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/right_arrow.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/right_arrow.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:47	347/347	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2019:21:52%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/up_arrow.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/up_arrow.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:53	97537/97537	---M--	200	added ('OK')	image/gif	date:Wed,%2011%20Oct%202017%2016:32:02%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/loader.gif	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/header/loader.gif	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:54	51368/51368	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Oct%202017%2020:46:16%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/about.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/about.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:04	103958/103958	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202017%2014:49:40%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv1.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv1.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:05	78289/78289	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202017%2014:53:42%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv2.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv2.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:06	74005/74005	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202017%2014:55:00%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv3.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv3.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
